id,cabinet,department,program,expense_category,fy22_actual,fy23_actual,fy24_appropriation,fy25_budget
65,Equity & Inclusion Cabinet,Office Of Diversity,Diversity,Current Charges & Obligations,18695.83,0.0,0.0,0.0
66,Equity & Inclusion Cabinet,Office Of Diversity,Diversity,Equipment,1147.0,0.0,0.0,0.0
67,Equity & Inclusion Cabinet,Office Of Resiliency & Racial Equity,Morre,Personnel Services,263230.42,51453.17,0.0,0.0
68,Equity & Inclusion Cabinet,Office Of Resiliency & Racial Equity,Morre,Contractual Services,1473716.13,775144.96,0.0,0.0
69,Equity & Inclusion Cabinet,Office Of Resiliency & Racial Equity,Morre,Supplies & Materials,3509.73,66640.3,0.0,0.0
70,Equity & Inclusion Cabinet,Office Of Resiliency & Racial Equity,Morre,Equipment,0.0,2449.84,0.0,0.0
71,Equity & Inclusion Cabinet,Office Of Language & Communications Access,Lca,Personnel Services,248986.69,752006.98,1072099.19,1160872.99
72,Equity & Inclusion Cabinet,Office Of Language & Communications Access,Lca,Contractual Services,463090.02,762054.45,880000.0,926162.0
73,Equity & Inclusion Cabinet,Office Of Language & Communications Access,Lca,Supplies & Materials,2481.05,19672.27,13143.0,13143.0
74,Equity & Inclusion Cabinet,Office Of Language & Communications Access,Lca,Current Charges & Obligations,0.0,5308.92,5000.0,12375.0
75,Equity & Inclusion Cabinet,Office Of Language & Communications Access,Lca,Equipment,2025.36,209104.88,76945.0,56945.0
76,Equity & Inclusion Cabinet,Office Of Language & Communications Access,Lca,Other Expenses,0.0,0.0,0.0,0.0
77,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Personnel Services,359467.99,199127.38,527894.77,368379.16
78,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Contractual Services,1845.86,75779.11,87300.0,87300.0
79,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Supplies & Materials,242.9,0.0,8000.0,8000.0
80,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Current Charges & Obligations,3198.59,0.0,1200.0,1200.0
81,Equity & Inclusion Cabinet,Human Right Commission,Human Rights,Equipment,5495.0,0.0,0.0,0.0
82,Equity & Inclusion Cabinet,Office For Immigrant Advancement,Immigrant Advancement,Personnel Services,806227.45,810066.67,1272870.17,1289608.69
83,Equity & Inclusion Cabinet,Office For Immigrant Advancement,Immigrant Advancement,Contractual Services,858347.52,2093477.77,2023217.0,2373217.0
84,Equity & Inclusion Cabinet,Office For Immigrant Advancement,Immigrant Advancement,Supplies & Materials,9273.48,21686.32,11400.0,11400.0
85,Equity & Inclusion Cabinet,Office For Immigrant Advancement,Immigrant Advancement,Current Charges & Obligations,4486.53,26993.43,15324.0,15324.0
86,Equity & Inclusion Cabinet,Office For Immigrant Advancement,Immigrant Advancement,Equipment,13553.29,1999.81,0.0,0.0
87,Equity & Inclusion Cabinet,Women'S Advancement,Women'S Commission Program,Personnel Services,309104.93,295718.08,495311.11,516152.25
88,Equity & Inclusion Cabinet,Women'S Advancement,Women'S Commission Program,Contractual Services,432183.65,47657.18,185973.0,225973.0
89,Equity & Inclusion Cabinet,Women'S Advancement,Women'S Commission Program,Supplies & Materials,1394.5,11275.75,800.0,610.0
90,Equity & Inclusion Cabinet,Women'S Advancement,Women'S Commission Program,Current Charges & Obligations,3024.11,36.04,0.0,190.0
91,Equity & Inclusion Cabinet,Women'S Advancement,Women'S Commission Program,Equipment,3501.06,0.0,0.0,0.0
92,Equity & Inclusion Cabinet,Black Male Advancement,Bma,Personnel Services,0.0,380890.85,1055105.34,968898.97
93,Equity & Inclusion Cabinet,Black Male Advancement,Bma,Contractual Services,0.0,987742.8,726550.0,1101550.0
94,Equity & Inclusion Cabinet,Black Male Advancement,Bma,Supplies & Materials,0.0,20024.37,10500.0,10500.0
95,Equity & Inclusion Cabinet,Black Male Advancement,Bma,Current Charges & Obligations,0.0,250.0,2800.0,2800.0
96,Equity & Inclusion Cabinet,Black Male Advancement,Bma,Equipment,0.0,8169.09,9500.0,9500.0
97,Equity & Inclusion Cabinet,Black Male Advancement,Bma,Other Expenses,0.0,0.0,0.0,0.0
98,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Personnel Services,266874.1,373917.62,306980.58,338703.29
99,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Contractual Services,168529.03,21661.25,166240.0,418297.0
100,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Supplies & Materials,6572.16,1929.4,11822.0,5000.0
101,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Current Charges & Obligations,42021.83,6049.6,235.0,5000.0
102,Equity & Inclusion Cabinet,Fair Housing & Equity,Fair Housing Commission,Equipment,16760.0,0.0,0.0,0.0
103,Equity & Inclusion Cabinet,Fair Housing & Equity,Human Rights History,Contractual Services,143.43,1394.1,0.0,0.0
104,Equity & Inclusion Cabinet,Lgbtq+ Advancement,Lgbtq+ Admin,Personnel Services,0.0,291338.02,481539.12,536202.92
105,Equity & Inclusion Cabinet,Lgbtq+ Advancement,Lgbtq+ Admin,Contractual Services,0.0,180884.92,228250.0,223250.0
106,Equity & Inclusion Cabinet,Lgbtq+ Advancement,Lgbtq+ Admin,Supplies & Materials,0.0,0.0,16000.0,16000.0
107,Equity & Inclusion Cabinet,Lgbtq+ Advancement,Lgbtq+ Admin,Current Charges & Obligations,0.0,0.0,2750.0,2750.0
108,Equity & Inclusion Cabinet,Lgbtq+ Advancement,Lgbtq+ Admin,Equipment,0.0,4942.5,4000.0,4000.0
109,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Personnel Services,483631.8,585951.01,742847.18,814683.15
110,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Contractual Services,15904.75,39327.83,63069.0,63860.0
111,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Supplies & Materials,9232.49,7236.14,7490.0,7360.0
112,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Current Charges & Obligations,0.0,40.89,0.0,7500.0
113,Equity & Inclusion Cabinet,Commission For Persons W/Disabilities,Disabilities,Equipment,2974.0,29.44,0.0,0.0
114,Opat Cabinet,Office Of Police Accountability & Transparency,Opat Commission,Personnel Services,482414.94,762043.41,1216543.92,1244661.48
115,Opat Cabinet,Office Of Police Accountability & Transparency,Opat Commission,Contractual Services,65382.21,71366.56,84610.0,84775.0
116,Opat Cabinet,Office Of Police Accountability & Transparency,Opat Commission,Supplies & Materials,8838.29,13165.1,13000.0,8500.0
117,Opat Cabinet,Office Of Police Accountability & Transparency,Opat Commission,Current Charges & Obligations,43996.1,102589.82,102631.9,107840.0
118,Opat Cabinet,Office Of Police Accountability & Transparency,Opat Commission,Equipment,92311.76,11932.83,6000.0,5500.0
119,Opat Cabinet,Office Of Police Accountability & Transparency,Civilian Review Board (Crb),Personnel Services,16225.0,168146.48,19414.28,19285.71
120,Opat Cabinet,Office Of Police Accountability & Transparency,Internal Affairs Oversight Panel (Ioap),Personnel Services,8575.0,4500.0,10785.72,10714.29
121,Operations Cabinet,Property Management Department,Pm Administration,Personnel Services,1990985.16,1721538.95,2213924.66,2317544.14
122,Operations Cabinet,Property Management Department,Pm Administration,Contractual Services,116724.08,94467.95,110015.6,115279.0
123,Operations Cabinet,Property Management Department,Pm Administration,Supplies & Materials,30618.58,26974.83,74100.0,57114.78
124,Operations Cabinet,Property Management Department,Pm Administration,Current Charges & Obligations,125558.95,132375.44,89415.0,90875.0
125,Operations Cabinet,Property Management Department,Pm Administration,Equipment,0.0,0.0,0.0,0.0
126,Operations Cabinet,Property Management Department,Building Operations,Personnel Services,2208087.82,2551554.71,4187044.04,3299519.89
127,Operations Cabinet,Property Management Department,Building Operations,Contractual Services,7006501.08,6659281.59,8908972.33,10592960.93
128,Operations Cabinet,Property Management Department,Building Operations,Supplies & Materials,667193.95,159264.72,180385.32,194250.0
129,Operations Cabinet,Property Management Department,Building Operations,Current Charges & Obligations,8873.19,49736.65,1702803.0,1363603.0
130,Operations Cabinet,Property Management Department,Building Operations,Equipment,27380.36,122641.57,157708.5,188396.83
131,Operations Cabinet,Property Management Department,Alterations & Repair,Personnel Services,635205.99,732823.2,732905.05,1417660.59
132,Operations Cabinet,Property Management Department,Alterations & Repair,Contractual Services,5766626.66,3019565.45,1198575.6,1493888.2
133,Operations Cabinet,Property Management Department,Alterations & Repair,Supplies & Materials,69636.74,84350.96,69965.0,30090.0
134,Operations Cabinet,Property Management Department,Alterations & Repair,Equipment,27329.6,108644.29,19793.4,69738.65
135,Operations Cabinet,Property Management Department,Enforcement,Personnel Services,2501062.92,3310680.63,2983395.06,2755168.09
136,Operations Cabinet,Property Management Department,Enforcement,Contractual Services,99948.35,120891.17,182133.1,206498.27
137,Operations Cabinet,Property Management Department,Enforcement,Supplies & Materials,75345.26,121982.74,45055.33,76393.08
138,Operations Cabinet,Property Management Department,Enforcement,Current Charges & Obligations,8759.98,7200.0,18000.0,18000.0
139,Operations Cabinet,Property Management Department,Enforcement,Equipment,27494.01,39930.39,103505.29,133229.57
140,Operations Cabinet,Property Management Department,Security Systems,Personnel Services,644620.46,950831.9,825302.13,911560.55
141,Operations Cabinet,Property Management Department,Security Systems,Contractual Services,4423.3,-359.79,15586.0,16288.0
142,Operations Cabinet,Property Management Department,Security Systems,Supplies & Materials,14248.89,26431.47,17400.0,22000.0
143,Operations Cabinet,Property Management Department,Security Systems,Current Charges & Obligations,32.4,673.25,900.0,900.0
144,Operations Cabinet,Property Management Department,Security Systems,Equipment,6834.21,12944.73,41188.6,37691.55
145,Operations Cabinet,Property Management Department,Building Systems,Personnel Services,611583.39,701495.34,621244.92,1098046.75
146,Operations Cabinet,Property Management Department,Building Systems,Contractual Services,1268163.5,1322010.22,1596310.0,1799517.8
147,Operations Cabinet,Property Management Department,Building Systems,Supplies & Materials,11835.91,47251.46,54500.0,57000.0
148,Operations Cabinet,Property Management Department,Building Systems,Current Charges & Obligations,2450.0,650.0,2500.0,5000.0
149,Operations Cabinet,Property Management Department,Building Systems,Equipment,2694.99,3723.49,3000.0,3000.0
150,Operations Cabinet,Property Management Department,Animal Control History,Equipment,0.0,0.0,0.0,0.0
151,Operations Cabinet,Public Facilities Department,Pfd Capital Construction,Personnel Services,7335539.27,8252807.83,9546891.44,10039336.82
152,Operations Cabinet,Public Facilities Department,Pfd Capital Construction,Contractual Services,474416.13,305414.67,477395.0,486879.0
153,Operations Cabinet,Public Facilities Department,Pfd Capital Construction,Supplies & Materials,13583.69,40668.0,21502.2,21520.68
154,Operations Cabinet,Public Facilities Department,Pfd Capital Construction,Current Charges & Obligations,10238.21,7661.21,20713.0,13713.0
155,Operations Cabinet,Public Facilities Department,Pfd Capital Construction,Equipment,9222.91,0.0,5800.0,5800.0
156,Operations Cabinet,Inspectional Services Department,Isd Commissioner'S Office,Personnel Services,1263528.21,1294935.52,1013044.87,1066967.04
157,Operations Cabinet,Inspectional Services Department,Isd Commissioner'S Office,Contractual Services,395255.32,397530.23,292099.47,252082.03
158,Operations Cabinet,Inspectional Services Department,Isd Commissioner'S Office,Supplies & Materials,1788.81,13567.83,1258.0,1585.54
159,Operations Cabinet,Inspectional Services Department,Isd Commissioner'S Office,Current Charges & Obligations,65761.2,107105.49,60904.0,27970.0
160,Operations Cabinet,Inspectional Services Department,Isd Commissioner'S Office,Equipment,2453.24,2453.22,2453.0,2453.23
161,Operations Cabinet,Inspectional Services Department,Isd Administration & Finance,Personnel Services,2519242.9,2753797.8,3492137.22,3409095.91
162,Operations Cabinet,Inspectional Services Department,Isd Administration & Finance,Contractual Services,415183.58,506756.44,336850.0,339120.0
163,Operations Cabinet,Inspectional Services Department,Isd Administration & Finance,Supplies & Materials,159835.72,166700.28,206982.0,204731.95
164,Operations Cabinet,Inspectional Services Department,Isd Administration & Finance,Current Charges & Obligations,917900.01,829970.71,133126.99,135943.0
165,Operations Cabinet,Inspectional Services Department,Isd Administration & Finance,Equipment,243167.18,208667.4,24278.61,24278.61
166,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Personnel Services,7746582.28,8061678.83,8987225.07,9507822.83
167,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Contractual Services,560879.97,219883.32,302010.0,298924.0
168,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Supplies & Materials,29977.22,24619.46,24238.0,22694.55
169,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Current Charges & Obligations,8833.27,6784.0,6150.0,6150.0
170,Operations Cabinet,Inspectional Services Department,Buildings & Structures,Equipment,113132.81,8521.69,8358.12,11073.87
171,Operations Cabinet,Inspectional Services Department,Field Services,Personnel Services,6894352.23,6807886.77,8077854.32,8299289.83
172,Operations Cabinet,Inspectional Services Department,Field Services,Contractual Services,235796.6,330367.45,300915.0,352616.0
173,Operations Cabinet,Inspectional Services Department,Field Services,Supplies & Materials,51271.84,46077.81,28312.98,39783.21
174,Operations Cabinet,Inspectional Services Department,Field Services,Current Charges & Obligations,3765.0,2766.0,6800.0,6800.0
175,Operations Cabinet,Inspectional Services Department,Field Services,Equipment,33062.15,35495.48,48339.47,42929.66
176,Community Engagement Cabinet,Neighborhood Services,Ons Administration,Personnel Services,673613.21,754111.04,740676.6,1061796.64
177,Community Engagement Cabinet,Neighborhood Services,Ons Administration,Contractual Services,161962.77,40519.09,111100.0,130135.0
178,Community Engagement Cabinet,Neighborhood Services,Ons Administration,Supplies & Materials,1902.84,31402.38,7285.0,10439.99
179,Community Engagement Cabinet,Neighborhood Services,Ons Administration,Current Charges & Obligations,24103.41,26876.39,8087.0,26180.26
180,Community Engagement Cabinet,Neighborhood Services,Ons Administration,Equipment,16373.0,60645.07,0.0,0.0
181,Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Personnel Services,1583781.78,1511602.67,2030239.64,1874630.68
182,Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Contractual Services,102233.72,24625.52,16081.2,21372.0
183,Community Engagement Cabinet,Neighborhood Services,Neighborhood Serv,Supplies & Materials,0.0,612.3,3800.0,1592.08
184,Community Engagement Cabinet,Neighborhood Services,Office Of Civic Organizing,Personnel Services,74400.76,87212.36,190773.44,96588.76
185,Community Engagement Cabinet,Neighborhood Services,Office Of Civic Organizing,Contractual Services,8500.68,6073.19,36792.0,77977.0
186,Community Engagement Cabinet,Neighborhood Services,Office Of Civic Organizing,Supplies & Materials,0.0,497.32,500.0,151.0
187,Community Engagement Cabinet,Neighborhood Services,Office Of Civic Organizing,Equipment,0.0,0.0,0.0,39969.6
188,Community Engagement Cabinet,Neighborhood Services,Boston 311,Personnel Services,1575088.58,1705561.57,1993242.51,2176434.32
189,Community Engagement Cabinet,Neighborhood Services,Boston 311,Contractual Services,0.0,10734.02,13318.0,12070.0
190,Community Engagement Cabinet,Neighborhood Services,Boston 311,Supplies & Materials,0.0,494.19,2700.0,510.0
191,Arts & Culture Cabinet,Office Of Arts & Culture,Arts And Culture,Personnel Services,1211535.16,1502451.11,2212299.61,2259825.11
192,Arts & Culture Cabinet,Office Of Arts & Culture,Arts And Culture,Contractual Services,2234496.11,1986945.11,2257041.22,2199486.95
193,Arts & Culture Cabinet,Office Of Arts & Culture,Arts And Culture,Supplies & Materials,2961.39,1641.75,15000.0,15000.0
194,Arts & Culture Cabinet,Office Of Arts & Culture,Arts And Culture,Current Charges & Obligations,45006.96,29029.3,45752.0,47400.0
195,Arts & Culture Cabinet,Office Of Arts & Culture,Arts And Culture,Equipment,1273.19,2558.95,0.0,0.0
196,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Economic Development,Personnel Services,1292740.38,1548605.13,1725038.99,1880370.36
197,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Economic Development,Contractual Services,720603.83,355527.89,335503.07,863554.16
198,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Economic Development,Supplies & Materials,5679.62,11552.21,23500.0,23500.0
199,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Economic Development,Current Charges & Obligations,46719.09,73174.87,83544.0,83414.0
200,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Economic Development,Equipment,6477.78,47565.86,3599.45,3599.0
201,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Equity & Inclusion History,Contractual Services,12049.25,897.17,0.0,0.0
202,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Equity & Inclusion History,Current Charges & Obligations,4.32,0.0,0.0,0.0
203,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Small & Local Business,Personnel Services,160699.93,520228.65,937314.44,859429.84
204,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Small & Local Business,Contractual Services,1623229.05,2656698.67,3318776.05,3390854.84
205,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Small & Local Business,Supplies & Materials,5325.0,48242.32,20300.0,20300.0
206,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Small & Local Business,Current Charges & Obligations,0.0,1500.0,140300.0,300.0
207,Economic Opportunity & Inclusion Cabinet,Office Of Economic Opportunity & Inclusion,Small & Local Business,Equipment,1395.48,0.0,4889.67,4890.0
208,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Personnel Services,654298.54,682338.22,731753.33,640433.58
209,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Contractual Services,6184.04,6675.23,6635.0,4404.0
210,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Supplies & Materials,1756.17,168.68,2250.0,2250.0
211,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Current Charges & Obligations,4865.4,2020.42,350.0,0.0
212,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Licensing,Equipment,0.0,994.37,0.0,0.0
213,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Personnel Services,67367.8,75769.09,75051.99,53713.31
214,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Consumer Affairs,Contractual Services,0.0,1260.85,1052.0,1754.0
215,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Personnel Services,865178.33,991880.63,1110115.74,1261873.1
216,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Contractual Services,39875.61,6013.84,14452.0,16956.0
217,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Supplies & Materials,8561.54,9289.81,12250.0,12250.0
218,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Current Charges & Obligations,3333.84,7869.95,5820.0,5773.0
219,Economic Opportunity & Inclusion Cabinet,Consumer Affairs & Licensing,Licensing_Board,Equipment,0.0,0.0,0.0,9420.0
220,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Personnel Services,0.0,0.0,1798209.77,1733702.99
221,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Contractual Services,0.0,0.0,1096758.0,591926.0
222,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Supplies & Materials,0.0,0.0,5610.0,6110.0
223,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Current Charges & Obligations,0.0,0.0,0.0,0.0
224,Economic Opportunity & Inclusion Cabinet,Supplier Diversity,Supplier Diversity Administation,Equipment,0.0,0.0,4800.0,4800.0
225,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism Administration,Personnel Services,430981.83,453334.64,606725.52,680807.49
226,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism Administration,Contractual Services,1014363.09,17233.84,36480.0,36010.0
227,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism Administration,Supplies & Materials,2858.15,6848.2,14400.0,14399.61
228,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Tourism Administration,Current Charges & Obligations,409.26,5241.23,0.0,0.0
229,Economic Opportunity & Inclusion Cabinet,Office Of Tourism,Film & Special Events,Personnel Services,224922.91,227680.69,282855.07,367312.98
